FIRST_NAME,LAST_NAME,AGE,NATIONALITY,CLUB
Mikel,Arteta,42,Spain,Arsenal
Unai,Emery,53,Spain,Aston Villa
Andoni,Iraola,42,Spain,Bournemouth
Thomas,Frank,51,Denmark,Brentford
Fabian,Hürzeler ,31,Germany,Brighton & Hove Albion
Enzo,Maresca,45,Italy,Chelsea
Oliver,Glasner,50,Austria,Crystal Palace
David,Moyes,61,Scotland,Everton
Marco,Silva,47,Portugal,Fulham
Kieran,McKenna,39,England,Ipswich Town
Ruud,van Nistelrooy,48,Netherlands,Leicester City
Arne,Slot,46,Netherlands,Liverpool
Pep,Guardiola,54,Spain,Manchester City
Ruben,Amorim,40,Portugal,Manchester United
Eddie,Howe,47,England,Newcastle United
Nuno,Espirito Santo,51,Portugal,Nottingham Forest
Ivan,Juric,49,Croatia,Southampton
Ange,Postecoglou,60,Australia,Tottenham Hotspur
Graham,Potter,49,England,West Ham United
Vitor,Pereira ,56,Portugal,Wolverhampton Wanderers
